,precision,recall,f1-score,support
0,1.0,1.0,1.0,60.0
1,0.993006993006993,0.9861111111111112,0.9895470383275262,720.0
2,0.9841897233201581,0.996,0.9900596421471173,750.0
3,0.9667405764966741,0.9688888888888889,0.9678135405105438,450.0
4,0.9864661654135338,0.9939393939393939,0.9901886792452831,660.0
5,0.9743589743589743,0.9650793650793651,0.9696969696969696,630.0
6,1.0,0.8866666666666667,0.9399293286219081,150.0
7,0.9867549668874173,0.9933333333333333,0.9900332225913622,450.0
8,0.9887387387387387,0.9755555555555555,0.9821029082774049,450.0
9,0.9375,1.0,0.967741935483871,480.0
10,0.9984709480122325,0.9893939393939394,0.9939117199391173,660.0
11,0.9630484988452656,0.9928571428571429,0.977725674091442,420.0
12,0.9535864978902954,0.9826086956521739,0.9678800856531049,690.0
13,0.9944521497919556,0.9958333333333333,0.9951422623178348,720.0
14,1.0,1.0,1.0,270.0
15,0.9722222222222222,1.0,0.9859154929577464,210.0
16,1.0,0.9933333333333333,0.9966555183946488,150.0
17,1.0,0.8944444444444445,0.9442815249266863,360.0
18,0.9782016348773842,0.9205128205128205,0.9484808454425363,390.0
19,1.0,1.0,1.0,60.0
20,0.8333333333333334,1.0,0.9090909090909091,90.0
21,0.9736842105263158,0.8222222222222222,0.891566265060241,90.0
22,0.9754098360655737,0.9916666666666667,0.9834710743801653,120.0
23,0.9931972789115646,0.9733333333333334,0.9831649831649831,150.0
24,0.978021978021978,0.9888888888888889,0.9834254143646408,90.0
25,0.9707724425887265,0.96875,0.9697601668404588,480.0
26,0.9015544041450777,0.9666666666666667,0.932975871313673,180.0
27,1.0,0.7666666666666667,0.8679245283018869,60.0
28,0.9868421052631579,1.0,0.9933774834437086,150.0
29,1.0,0.9666666666666667,0.983050847457627,90.0
30,1.0,0.86,0.924731182795699,150.0
31,0.893687707641196,0.9962962962962963,0.9422066549912435,270.0
32,0.7692307692307693,1.0,0.8695652173913044,60.0
33,0.990521327014218,0.9952380952380953,0.9928741092636579,210.0
34,0.9916666666666667,0.9916666666666667,0.9916666666666667,120.0
35,0.9948979591836735,1.0,0.9974424552429668,390.0
36,1.0,0.9916666666666667,0.99581589958159,120.0
37,0.9836065573770492,1.0,0.9917355371900827,60.0
38,0.997093023255814,0.9942028985507246,0.9956458635703919,690.0
39,0.967032967032967,0.9777777777777777,0.9723756906077348,90.0
40,0.9666666666666667,0.9666666666666667,0.9666666666666667,90.0
41,0.875,0.5833333333333334,0.7000000000000001,60.0
42,0.9666666666666667,0.9666666666666667,0.9666666666666667,90.0
accuracy,0.9761678543151228,0.9761678543151228,0.9761678543151228,0.9761678543151228
macro avg,0.9694563718477504,0.9605333535598958,0.9628443382018157,12630.0
weighted avg,0.9771271001505757,0.9761678543151228,0.9759005295217876,12630.0
